,title,like_count_1h,like_count_2h,like_count_3h,like_count_4h,like_count_5h,like_count_6h,comment_count_1h,comment_count_2h,comment_count_3h,comment_count_4h,comment_count_5h,comment_count_6h,forum_id,forum_stats,like_count_24h,weekday,hour
18255,#iPhone 這種大貼圖怎麼傳,0,1,1,1,2,3,0,2,2,5,5,6,888601,78.9,14,0,22
5516,同男友興趣完全唔同,1,3,6,8,18,30,0,2,4,7,16,20,955936,27.0,75,6,0
35302,學歷低的就不能跟學歷高的在一起嗎？？,1,1,1,1,1,1,0,0,0,0,0,0,817817,391.7,70,2,18
32801,想吃消夜 求推薦,1,1,1,1,1,1,3,3,3,3,3,3,604447,38.0,5,0,17
7480,8/29-9/4 確診+61,0,1,2,3,4,4,1,2,2,2,2,2,943830,52.4,7,0,14
22532,#問 婚鞋品牌,0,0,1,1,1,1,0,0,0,0,0,1,327178,22.4,6,3,10
33953,國泰世華CUBE卡 新增 集精選通路,7,10,12,13,14,16,1,3,3,3,3,3,894191,0.1,155,1,23
9478,#電影推薦 刷榜仔的《醉後末日》,1,1,2,2,3,4,0,0,0,0,0,1,591920,16.9,5,5,3
36414,仙人跳,6,8,9,10,16,23,4,7,8,11,30,36,994988,40.3,50,2,9
49185,今天下午在停車場哭的女生,4,6,7,8,11,14,4,4,4,4,4,9,793396,4.8,30,3,10
45821,天蠍女該怎麼追求呢？,0,0,0,0,0,3,0,1,1,1,1,4,342324,79.0,19,4,17
15435,很隨便的澎湖心得,0,0,0,1,3,5,0,0,0,0,0,0,14804,42.6,9,4,7
11090,版友被罵後立即刪文，原本的態度爛到炸,2,2,6,13,21,37,1,2,4,4,9,11,676371,391.4,299,5,4
17612,新莊球場要簽名,2,3,3,3,3,3,1,5,6,6,6,6,862588,24.2,5,5,5
28672,Ep28 拿碗買冰不夠吃換鍋子，老闆直接加爆,2,2,6,14,18,20,0,0,0,0,0,0,506412,3.9,38,3,7
12277,#開箱 Harry Winston｜單鑽項鍊,3,8,12,20,24,25,1,1,2,4,4,4,641259,15.1,64,5,12
33258,#分享 繁花愛戀限定系列！MISS DIOR 快閃店 連假必須衝一波,2,3,3,3,3,5,0,0,0,0,0,0,156928,140.1,25,0,17
5212,求讓票🥹🙏,2,3,4,4,4,5,17,28,38,45,46,49,136811,59.5,5,0,9
12737,《傳說對決》新賽季單排上分首選-布萊特 最全攻略12分鐘 季初直衝S排！,7,7,7,7,7,7,7,12,12,12,12,12,906666,319.0,7,3,4
34968,#請益 一些昆蟲請益！,0,0,0,1,1,2,0,0,0,0,2,2,63642,22.5,5,5,13
47742,中秋獎金,3,3,3,3,3,3,0,0,0,0,0,0,324804,0.1,9,4,12
16736,塔綠班到關鍵評論網帶風向失敗囉~,0,1,2,3,4,5,2,2,3,4,4,4,497426,359.8,10,0,13
49830,小額投資...,0,0,1,1,1,2,0,0,2,4,4,4,717594,39.0,14,1,1
9575,原來可以有三個車位,0,0,0,1,1,3,0,0,0,0,0,0,206035,27.7,6,3,11
29680,烏鴉搬家了,0,1,3,3,3,6,0,2,2,6,6,11,445193,24.6,46,6,9
33074,Youtuber的Netflix影片素材哪裡來,0,0,1,2,2,2,0,2,3,6,6,10,445193,24.6,63,6,17
40259,網球場烤肉？,2,3,3,3,3,3,1,1,2,2,3,3,400940,15.7,12,5,16
32849,現在志願役真的有那麼好嗎,0,0,0,0,0,0,8,8,8,9,9,10,359151,23.3,13,0,14
33616,#分享 久坐族的肩頸放鬆小秘訣,1,3,4,5,5,6,1,1,1,1,1,1,156928,140.1,11,2,11
9278,"✨K棟民生大樓前 歡迎大家來捐血✨
📍9/21(三)~9/22(四) 8:30-16:00",3,5,5,5,6,6,0,0,0,1,2,2,176551,22.4,6,1,11
21497,嘿對 是招生文,0,0,0,0,0,0,0,0,0,0,0,0,947434,5.1,11,0,16
15258,卡掛,1,1,2,4,10,10,0,3,7,7,8,23,336679,29.3,15,6,11
29087,#尋漫 翻譯不出這部漫畫的名字🥲,0,0,0,0,0,0,2,2,2,2,2,2,823498,1.8,5,3,16
11355,尊重很難嗎？,0,0,0,0,0,0,1,1,2,2,2,2,766269,2.4,6,4,16
16103,#請益 教科書改版詢問,0,0,0,1,1,2,1,1,2,7,8,11,591920,16.9,8,3,6
36939,711的冷凍小泡芙！🥰,1,4,9,23,31,34,0,1,3,4,5,6,160419,81.9,94,2,6
3276,突然覺得好累,1,1,1,2,3,4,4,4,4,4,4,4,676371,391.4,7,3,22
41337,我感覺你真的快淡出我的視線了..,3,4,6,7,10,10,1,2,3,3,3,3,817817,391.7,16,6,14
14970,推甄大進擊-沒人告訴過你的錄取潛規則,1,1,1,5,7,7,0,1,3,7,7,7,632718,54.5,25,2,12
38289,文長慎入 親愛的 繞了一大圈 我們終於又在一起了,4,6,7,7,7,7,2,5,5,5,5,5,817817,391.7,22,1,16
48879,#分享 海樂終於退款給我了！！,10,11,19,23,28,34,3,5,6,7,7,7,445437,0.5,51,4,9
5984,#分享 #微雷 人生大事,1,2,3,5,6,6,0,0,0,0,0,0,700043,4.0,11,5,14
27192,中國醫 kpop cover舞團？,2,3,4,4,4,4,0,0,0,0,0,0,643211,6.7,25,6,17
41074,#情報 寶雅線上買自動歸戶5折券,2,2,2,3,3,4,3,3,4,8,10,10,62553,64.4,6,5,1
31492,#頁遊 突然來個快閃拿燕子（結束,4,4,4,4,5,5,24,25,25,25,25,25,63088,37.5,6,4,18
35876,#頁遊 抽獨角和動物(已結束）,4,7,8,8,8,8,28,38,42,44,70,72,63088,37.5,8,5,13
27794,社會正義 - 有關社會正義的迷因,0,0,0,1,1,1,0,0,0,0,0,0,965972,0.2,6,5,21
36333,withで会った人,0,1,1,1,1,2,0,2,2,2,3,3,714297,15.2,8,0,3
28300,撩來撩去何時了,3,5,5,7,9,10,1,1,1,1,1,1,687605,117.0,17,5,5
24561,銘傳棋牌社可不可以快點倒,0,0,2,2,2,3,0,0,0,0,0,1,100619,40.4,20,3,17
723,我會想你的，麻辣燙：（,4,6,9,10,12,16,1,2,5,7,7,10,254413,12.9,30,2,5
21188,#分享 購買會員的貼心提醒🥰,17,21,23,29,29,30,12,17,19,27,36,46,495424,6.9,36,4,9
31612,台中的小時候懷舊麵包車,1,4,5,8,9,10,0,0,0,1,1,1,160419,81.9,21,4,5
33409,#分享 疫情前的韓國之旅🥹🫶🏻,4,5,5,5,6,6,1,2,3,3,3,3,14804,42.6,15,0,15
9723,#分享 更新）中x百貨嬌x送過期贈品 ‪( ;ᯅ; )‬,2,2,3,3,3,3,1,2,2,2,2,2,156928,140.1,16,0,18
24221,211都是有錢人！？,4,4,5,5,7,8,2,5,6,6,7,7,741718,13.6,13,2,7
16430,負麵能量的手工拉麵,0,0,0,2,4,4,1,2,6,10,16,18,644795,11.4,13,1,6
5000,回顧勾惡找青青男友道歉那集..,5,11,20,38,50,74,0,1,1,7,21,28,445193,24.6,203,3,10
23346,可ㄅ學店包庇性騷擾,0,3,5,6,7,8,2,4,5,6,6,6,136098,31.6,15,2,12
21310,#請益 想減肥遇到的問題,0,0,0,0,0,1,1,1,7,7,7,8,656378,16.0,7,1,17
31238,8款百元妝前飾底隔離推薦！依膚況需求來分類🤍,34,75,126,190,257,309,5,7,10,14,17,19,156928,140.1,571,5,11
11730,IELTS 成績複查,0,0,0,0,2,2,1,1,2,2,2,2,423797,21.0,8,3,6
372,(含飯戲攻心劇透，慎入)成功令人又喊又笑嘅港產片！🥹🫶🏻推薦大家去睇！,3,7,7,8,8,9,1,1,2,2,2,4,528046,38.6,22,1,5
44652,「快訊」驚！充電站失火,3,7,10,10,10,10,9,15,16,19,19,19,947434,5.1,27,5,14
5415,徵女友(政大為主),1,1,1,1,1,2,3,10,12,13,13,15,31069,64.7,9,5,17
24958,CHARLES & KEITH鑰匙鎖鍊小方包-灰綠色,1,2,2,2,2,3,1,1,1,1,1,1,693735,0.0,5,2,14
34320,foodpanda外送員拍照技術略勝一籌,20,24,25,25,25,25,2,3,4,7,7,7,497426,359.8,26,1,8
29219,#分享 #分享 夏日｜洋裝｜穿搭,2,8,18,25,38,41,1,1,3,3,3,4,399302,63.9,91,2,7
44631,#開箱 進去一下下就好……預購爆買蘭蔻玫瑰霜,11,19,26,38,44,49,6,12,18,25,26,26,156928,140.1,70,4,12
33759,#iPhone iPhone ios16 沒有重複相片這個功能,0,1,1,2,2,2,0,0,0,3,3,4,888601,78.9,12,1,2
10235,藍心湄停止語言霸凌,0,0,1,1,2,2,0,0,0,0,0,0,832822,17.1,108,1,5
37041,通識講座到底怎麼搶,0,1,1,1,2,2,16,22,30,31,34,35,741718,13.6,5,3,12
28454,手作零食，鯊魚滅絕的推手,0,1,1,4,4,4,0,0,0,1,1,2,699763,53.5,7,6,8
11918,豬屎屋真的操嗎？,0,2,3,5,6,10,12,19,22,24,29,33,852766,28.4,55,3,11
33468,校內朋友要freestyle來3709,0,0,0,0,0,1,0,0,0,0,0,0,292854,1.0,7,1,14
7812,有人想一起打排球嗎,1,1,4,4,4,4,5,7,9,18,29,30,254413,12.9,7,3,12
26644,討厭自己的聲音,2,3,3,3,3,3,3,3,7,7,7,7,676371,391.4,8,3,6
30052,你用什麼當手機的起床音樂？推薦一下吧,1,2,6,6,7,7,2,4,11,19,23,24,497426,359.8,8,5,2
42887,所以為什麼宿舍會有螃蟹,15,21,22,23,24,24,3,5,9,9,9,9,994988,40.3,55,5,17
36574,抽煙BAD,2,2,2,2,2,2,0,0,0,0,0,0,504560,19.9,16,6,19
1863,好市多必買💥 微波出來就跟現炒得一樣 懶人/大忙人必備(๑˃̵ᴗ˂̵)♡,2,4,18,31,48,60,0,0,4,8,14,18,160419,81.9,106,1,10
256,#分享 I DEW CARE 之葡萄柚C亮顏精華&葡萄籽C水亮果凍面膜,1,3,4,4,4,4,0,0,0,0,0,0,156928,140.1,5,4,1
4764,H棟半夜聽到慘叫聲,4,4,4,4,4,4,2,2,2,2,3,6,509033,16.3,9,6,18
18179,紀念品廠商互相有什麼beef？,2,3,4,4,4,5,4,5,6,9,9,9,399368,59.9,5,2,11
25437,已準備去台大物理所唸博,5,6,7,9,10,10,2,4,5,8,9,9,136098,31.6,19,3,12
20251,重度ig使用者推薦6款APP,3,4,6,6,7,8,0,0,0,0,0,0,24561,93.7,44,1,16
21831,#情報 咒術第二季,10,18,43,58,91,113,3,5,8,10,13,14,3013,31.7,222,5,8
46020,大一體育可能不游泳嗎？,0,0,1,1,1,1,3,4,4,4,4,4,878885,21.2,7,1,14
35865,#分潤 蝦皮299-30（限全家取貨,3,5,7,7,7,7,0,0,0,0,0,0,62553,64.4,7,4,3
5532,想問問到底該怎麼樣才能判斷男生有沒有好感或是在曖昧,0,0,2,2,3,3,8,8,8,8,8,8,817817,391.7,5,0,17
31322,#小知識 中國黑心醬油，導致生出的小孩變黑,2,4,6,7,7,7,3,5,7,8,8,8,367659,39.7,51,6,16
37704,🇰🇷江陵必去超人氣黑芝麻拿鐵咖啡廳☕️툇마루커피☕️,0,1,3,4,4,4,0,0,0,0,0,0,160419,81.9,5,0,3
1544,碎,3,3,4,6,9,10,5,5,5,5,5,5,817817,391.7,13,0,20
45465,徵女生10/22幫忙換球衣+免費看球,0,0,1,1,1,1,1,1,1,1,1,1,862588,24.2,6,2,17
14624,#日常 我最口愛的崽崽,0,0,0,0,0,0,0,0,0,0,0,0,17854,6.8,9,1,17
40306,週末の鶯歌老街挖寶行₊˚‧(๑σ̴̶̷̥́ ₃σ̴̶̷̀)·˚₊,7,11,13,13,16,17,0,2,2,2,2,2,494054,0.1,46,5,5
16083,蟑螂...,7,14,21,26,30,33,5,17,30,33,42,42,31069,64.7,43,0,10
41126,#作品 血淋淋,0,0,1,1,2,2,0,0,0,0,0,0,124098,15.7,5,3,2
9704,沒和喜歡的人在一起過的我…,2,3,5,8,8,8,12,19,23,33,35,35,174372,56.4,13,6,11
12253,韓舞社迎新茶會 「序：第11篇章」🌌🏛️,2,2,3,4,5,7,1,1,1,1,1,2,774628,12.1,9,1,8
48177,太有趣了！,3,6,7,8,9,9,1,5,14,15,17,17,879617,13.7,15,1,5
22842,#分享 卡面比例不一樣不一定就是假卡,2,2,4,4,4,4,0,0,0,0,0,0,74879,3.3,16,5,16
24814,對cosplay有興趣、想交朋友的請進（不限科系）……,3,3,5,5,5,5,0,0,1,1,1,1,637894,26.9,8,0,14
41964,大家有推薦的平價定妝噴霧嗎～,1,2,4,12,18,25,1,5,13,17,23,32,156928,140.1,54,0,4
10572,師大盃辯論比賽！歡迎大家一起來參與！,4,5,6,7,7,7,0,0,0,1,2,2,218395,17.2,10,3,12
14132,2022.10.1 G278 味全龍 🐲 vs. 中信兄弟 🐘 賽事討論區,0,0,3,3,3,5,0,1,2,3,5,14,862588,24.2,6,5,7
35544,保健救護團-期初同樂會,0,0,1,2,3,3,0,0,0,0,0,0,162037,21.9,5,4,4
11781,不是本科生考上諮商所：清大、市北上榜心得分享,4,8,11,12,14,15,0,0,1,1,1,1,632718,54.5,25,3,6
6033,柾國的吊飾自取,1,3,4,4,5,5,0,0,1,1,1,1,943830,52.4,7,2,14
8039,婚禮不推薦，大雷區（一輩子的遺憾）,4,23,56,158,272,385,1,10,23,46,60,72,327178,22.4,2194,3,2
3839,起源考察-成大爸爸媽媽、中興大學發廢文tag應數系是禮貌,3,4,4,4,4,4,0,0,0,0,0,1,497426,359.8,5,0,1
34769,大×麵店用點心好嗎,3,3,5,8,8,9,2,5,11,17,21,23,22465,63.0,17,2,10
46063,#分享 4支不到200元的爾木萄液體眼影試色+心得👀,0,2,3,3,6,7,0,0,0,0,0,0,156928,140.1,13,2,10
40931,#徵招在校生 💪Nike放瘋社集合！來和 #Nike 一起放瘋一起玩🔥用三種方法找回閃耀的自己#堅決不停放開瘋,9,12,21,25,30,35,34,41,54,64,69,73,367659,39.7,55,1,4
31111,求推帽踢！,0,0,1,1,1,1,7,13,14,15,15,15,583569,60.6,7,4,16
16240,#懷孕 #懷孕 弓型蟲Igm陽性,0,0,0,0,0,0,0,0,0,0,0,0,24568,35.9,12,3,16
21976,#活動 #徵 台中免費霧眉麻豆,1,1,1,2,2,2,0,0,0,0,0,0,156928,140.1,5,4,19
10384,中華大學接受高虹安委員道歉！,5,10,12,12,13,15,4,6,9,13,15,17,477997,42.3,25,2,7
42345,#已徵到 長大 QQ餐飲工讀 ᐕ)ﾉ,2,2,2,2,2,3,0,0,0,0,0,0,305500,13.4,6,0,14
22865,炸雞爆量！超浮誇平價咖哩飯😍,9,14,20,24,24,25,0,0,0,0,0,0,160419,81.9,141,0,15
41114,🌵養成仙女肌! YSL仙人掌精華 !#開箱大使,13,22,28,32,34,34,9,13,19,24,25,25,156928,140.1,47,3,5
45077,大家是怎麼當面告白的！！,1,2,2,2,2,3,1,1,1,2,6,6,817817,391.7,13,1,10
11287,樂扣樂扣環保杯🧋500有找可入手？,1,1,2,2,2,2,1,1,2,2,3,3,136339,17.7,20,3,8
3191,認真問,0,0,3,3,3,4,7,13,14,14,15,16,136098,31.6,9,5,13
25159,所以烏鴉到底有沒有做球版？？？,0,1,1,3,4,7,0,0,1,3,5,6,445193,24.6,23,3,3
46987,在超商尖叫嚇到店員,0,3,14,43,88,136,1,4,12,14,26,38,676371,391.4,520,1,3
18668,#料理 #午餐吃什麼 #蕎麥沾麵,1,3,5,5,5,5,0,0,0,0,0,0,841328,6.6,9,5,9
13534,#請益 什麼時候適合開槓桿,3,4,5,5,6,7,2,4,5,5,6,7,508444,18.7,8,1,8
458,#上榜心得 111高考三等法律廉政上榜心得（內附贈書(書贈完,15,25,32,40,49,53,11,28,30,30,30,31,531929,28.7,93,0,8
34354,接受唔到RM喺房做呢樣嘢 係咪我問題....,0,1,3,33,45,69,1,3,8,22,29,45,269432,16.3,229,0,10
5025,久違叫我妹抓背，挖掘到超黑粉刺,1,1,2,2,2,5,1,1,1,1,1,1,331474,5.0,51,5,19
27635,交大校花,2,2,2,3,5,6,4,6,7,8,11,11,630097,10.4,23,3,4
37799,#頁遊 2022年9月02日更新公告,11,14,16,18,19,19,19,22,22,23,23,24,63088,37.5,21,3,4
22041,#懷孕 兩個寶寶沒有了心跳💔,4,12,26,59,132,212,7,8,14,19,32,32,24568,35.9,1480,5,2
38462,社交障礙表示想哭,1,1,2,3,4,6,1,1,1,2,2,2,676371,391.4,7,1,9
16972,🤩台中美食（下篇）,3,3,3,3,3,4,5,5,5,5,5,5,160419,81.9,21,4,18
6465,Olens代購,1,1,1,3,3,4,2,2,3,3,3,3,156928,140.1,5,5,9
39773,舞蹈系的出路沒他說的那麼少吧,0,0,0,0,0,1,1,2,2,2,3,3,16497,5.1,5,5,5
47430,The DoDo Men的10元凹馬祖店家之旅,6,14,16,18,20,21,5,7,9,11,11,11,445193,24.6,178,2,17
7908,#消息 金聖圭 出道10週年紀念 Fan Meeting,8,8,8,9,10,10,2,2,2,2,2,2,783522,0.8,19,0,15
2909,深櫃看其他同性戀伴侶,4,5,9,12,16,29,1,2,2,4,4,6,687605,117.0,283,1,17
14740,#詢問 彩領是去隆鼻了嗎⋯,4,21,41,59,79,102,26,52,77,97,122,150,626235,38.4,320,2,3
13631,說個笑話,2,3,5,6,6,7,1,1,2,3,6,6,473856,2.9,10,6,6
21930,哪裡能買長毛黃金鼠,0,0,2,2,5,5,0,2,5,7,7,7,699763,53.5,6,6,8
24749,觀眾怎麼差這麼多啊,0,2,6,7,8,12,8,9,13,21,21,26,252258,14.2,23,6,5
612,生科管科土木宿營,0,0,0,0,0,0,1,2,2,2,2,2,630097,10.4,13,5,17
44025,#請益 球衣洗滌,0,0,0,0,0,0,1,1,1,1,1,1,862588,24.2,8,1,16
27928,#上榜心得 (111高考)改變讀書方式後就考上了！,18,31,44,85,133,175,5,9,28,39,49,51,531929,28.7,498,2,5
26312,#請益 四大離職,2,2,2,2,5,5,5,8,15,16,17,20,827384,8.4,16,4,13
48819,我叫妞妞我是柴柴,1,3,4,5,5,6,0,1,1,1,1,2,699763,53.5,32,5,18
6712,#贈品 按摩椅捐贈,2,2,3,3,4,4,1,1,1,2,3,3,62553,64.4,7,5,2
10634,不忙的話點進來看看吧,4,5,6,6,6,7,1,1,1,1,1,1,817817,391.7,67,5,18
23753,迷客夏新品牌鍋燒意麵😆,5,5,5,5,5,5,0,0,0,0,0,0,107667,0.4,10,2,12
15168,鬧鐘響8輩子都起不來,0,2,3,4,4,4,1,6,9,12,13,13,230184,36.2,6,1,5
1516,省餐錢,2,4,4,5,5,5,6,7,8,9,12,16,354462,4.1,9,6,14
28261,歡迎各位分享調薪幅度,0,0,0,0,0,0,0,0,0,0,0,0,770696,160.6,31,2,17
47317,哈哈利用王都是怒,5,5,6,6,6,6,0,0,0,0,0,0,750159,1128.3,6,5,8
36786,投信投顧業務員通過心得,1,1,1,1,3,3,0,0,0,0,0,0,90251,11.7,12,4,7
30092,有時候看到女友會想笑,4,4,5,6,6,6,5,5,5,5,5,5,817817,391.7,8,4,16
22775,#討論 感覺變質的全明星運動會,0,2,4,10,13,16,2,2,8,10,12,14,822393,4.1,44,4,6
20541,無論做咩都好，外界都會有好多聲音，但最重要都係忠於自己嘅內心🤍✨,5,7,8,8,8,9,0,0,0,0,0,0,528046,38.6,12,4,10
40742,負能量請斟酌進入,1,9,36,59,67,76,9,14,40,53,56,58,676371,391.4,155,0,14
15079,對不起 我今年還是想去耶誕城,4,11,30,45,57,62,7,21,71,91,108,117,676371,391.4,401,6,12
44972,這鍋，我背！,4,6,8,8,8,9,5,5,7,7,7,7,676371,391.4,74,6,16
11487,為啥會有噁男要跟我裝熟,9,9,9,9,9,9,3,3,3,3,3,3,750159,1128.3,9,3,4
44024,泉思的伏石厥讓人無言,2,5,7,9,12,17,4,8,22,33,39,43,994988,40.3,23,1,3
22961,無題,2,5,5,6,9,12,2,4,6,6,7,9,736753,1.3,23,2,7
40891,說好的free hug呢,7,10,14,20,24,26,17,22,35,51,81,110,399368,59.9,37,5,11
14890,要怎麼到南應大,0,0,2,3,4,8,19,33,42,51,59,73,196302,25.7,21,1,7
49014,#分享 11/8 GMA出席,16,32,43,54,56,62,1,2,2,2,2,2,727931,2.2,80,1,2
40377,#選擇單位或醫院問題 該離開病房環境嗎,1,2,3,4,5,5,2,3,4,5,5,5,916546,19.7,11,4,3
43961,古曼麗讓供,0,2,2,2,3,3,3,3,3,9,9,10,74287,25.0,5,5,12
5005,10/27～10/29 漢堡王🍔快閃優惠卷👩🏽‍💻👩‍🦰🏃‍♀️,3,4,4,6,8,8,0,0,0,0,0,0,160419,81.9,8,2,22
34998,致真樓,2,2,2,2,2,2,0,0,0,0,0,0,947434,5.1,6,4,16
22813,分手後都要喝醉才能睡,1,2,2,2,2,2,2,2,2,3,3,3,817817,391.7,5,3,16
40961,#大眾占卜 微醺占卜🥂他想給你的情書🔮交往 結婚(已解答),0,4,7,8,9,10,8,14,17,24,27,29,40715,32.9,21,0,12
28840,去過中興的學餐後才知道那件事，令暨大生都震驚了,1,1,2,2,2,3,2,2,4,7,11,11,316239,28.1,12,6,10
5171,因為一通電話徹底暈船,0,1,2,3,4,5,1,1,3,3,3,6,676371,391.4,17,5,2
41657,保齡球大專盃🎳🎳🎳,2,2,2,3,3,4,10,10,10,10,10,10,878885,21.2,5,0,16
13683,低卡聯名杯現省248元！！🤩,0,4,7,12,13,13,1,1,4,12,12,12,136339,17.7,15,1,7
40402,不會撒嬌很嚴重嗎？,1,1,1,2,2,2,11,19,19,25,26,26,817817,391.7,10,4,1
15082,織品行銷週系列講座Part1 — 李優✨,4,4,6,7,7,9,0,0,0,1,1,3,136811,59.5,12,1,8
32164,#分享 最近受寵的眼影盤✿ ft.隱眼分享,13,15,21,29,31,34,1,2,4,4,4,5,156928,140.1,60,2,8
20967,#徵友 徵大量互🔥,3,4,5,6,6,6,2,4,7,15,16,17,17854,6.8,6,3,10
24803,711是不是不會再有關東煮了,0,3,4,4,4,6,3,3,4,5,5,7,136098,31.6,8,2,9
48710,狗狗肚子大,0,0,3,9,18,24,2,3,6,7,8,15,699763,53.5,85,6,23
14039,竹筍湯,1,3,4,4,4,5,2,6,10,11,11,14,430940,47.0,7,2,10
37544,紀錄✨第一次的澎湖行🥨,0,2,2,2,2,2,0,0,0,1,2,2,14804,42.6,16,1,14
18382,現在的女生好酷,0,0,0,1,1,1,2,4,6,7,9,10,497426,359.8,9,2,0
4393,#問題 #問題 花花美甲價格,0,1,3,4,6,6,5,5,5,5,5,5,50785,31.2,10,2,13
13910,全家 #海鹽焦糖霜淇淋 開箱,4,22,56,108,148,190,0,1,4,12,24,27,160419,81.9,349,0,6
41562,#其他 那些買台積電的還在嗎,1,4,4,4,5,5,4,7,9,10,11,13,508444,18.7,6,2,1
10833,台中五星級的日月千禧酒店🥰,6,8,8,8,8,8,1,1,1,1,1,1,750159,1128.3,11,0,16
10737,給全校學生的邀請函,6,6,8,8,11,12,3,3,5,5,13,13,362848,5.7,15,5,5
18467,［分享］2023台積預聘校園徵才場次,4,7,7,8,8,8,4,6,7,9,11,12,432672,41.5,13,5,13
13934,有沒有人,8,8,8,8,8,8,6,10,10,10,10,10,750159,1128.3,11,3,14
49695,#活動 帶大家過45夢魘,0,0,0,0,1,1,0,3,3,3,5,5,31408,8.8,5,1,6
1253,有人也在掏寶買貓籠回來嗎🥲,0,0,0,0,0,0,0,1,1,1,1,3,699763,53.5,6,3,16
15751,終於blk咗我中意嘅人,2,11,18,26,28,30,2,3,5,11,12,13,955936,27.0,118,5,14
7786,各位覺得成大有比較值得讀嗎,0,0,3,3,4,4,3,9,13,13,13,13,174372,56.4,9,2,13
26672,#閒聊 七海 五條 夏油 你選誰當男友/另一半？,4,4,4,5,5,5,5,6,9,15,17,17,3013,31.7,29,6,11
49279,#分享 生理期搬得上檯面的GA粉水,2,5,6,6,6,6,0,0,0,0,0,0,156928,140.1,8,0,15
46302,四輪猴趕時間,1,1,2,2,2,6,1,5,5,10,11,12,926730,13.2,11,1,5
49287,進健身房盥洗室的不安,1,1,2,2,2,2,1,1,1,1,1,1,977643,2.1,7,3,8
16075,#鑑定 請問這是哪一種馬陸,2,2,2,2,2,2,4,4,5,5,5,6,63642,22.5,5,2,17
11111,睡姿一級棒,0,1,1,1,1,2,0,0,0,0,0,0,699763,53.5,11,2,17
35679,#詢問 adidas 裙子,4,6,10,15,15,17,0,0,0,1,4,4,495424,6.9,57,0,13
31461,#iPhone 求HAO保護貼心得,4,5,6,7,7,7,2,4,5,6,6,6,888601,78.9,8,4,5
339,#大眾占卜 你的壓力來源來自於何處？,0,0,0,1,1,1,2,2,3,3,3,3,40715,32.9,5,1,3
38523,顯示IC,1,1,1,1,1,2,16,19,20,20,20,21,852766,28.4,5,2,8
14334,好好笑,3,5,5,5,5,5,14,17,17,17,17,17,750159,1128.3,9,5,11
34419,月老行,3,4,6,7,8,9,0,2,2,2,3,3,196302,25.7,12,1,9
2955,留在美夢裡的朋友,3,5,6,6,7,7,1,1,1,1,1,1,817817,391.7,9,2,17
39953,#分享 乾肌人的好物分享🌝Beyond Youth&Kanebo,2,2,2,2,3,3,0,0,1,1,2,2,156928,140.1,6,3,9
11466,#DIY 高中生ㄉ浮誇延甲,1,1,6,13,23,28,2,2,2,2,6,12,50785,31.2,86,4,3
39241,英五3樓長邊衣服不見,2,2,2,3,3,3,1,1,2,2,3,8,230184,36.2,5,5,2
15392,女壘？,3,3,4,4,5,5,5,6,9,10,12,16,732778,35.4,5,2,9
35729,關於取消追蹤前任,0,0,0,0,1,4,2,2,2,3,6,7,817817,391.7,82,6,20
40251,二試選考科目要選哪個比較適合自讀,0,0,1,3,4,4,6,6,6,6,6,6,591920,16.9,9,3,14
28471,有冇人同我一樣好驚離心力,1,2,4,7,9,10,1,1,1,7,10,11,528046,38.6,34,4,7
38357,#標的 台積電套牢的朋友們別難過了，你們還有可愛的貓貓。,1,2,5,7,8,13,3,5,6,7,8,8,508444,18.7,26,4,7
19248,有人忘記吃藥了？,1,1,1,1,2,2,0,0,1,1,1,1,504560,19.9,6,0,6
8389,#開箱 #分享 海洋拉娜 創世紀💓,11,12,13,13,13,13,2,2,2,2,2,2,156928,140.1,25,4,16
43091,十樓到底要不要跑,3,3,3,3,3,4,9,12,13,13,13,13,230184,36.2,6,6,6
34594,全台-冒煙的喬🌑🌑🌑🌑🌒｜最優質的異國風味料理和旅宿及外匯體驗,0,0,1,2,2,2,0,0,0,0,1,1,160419,81.9,8,2,3
26164,#提問 圓佑證件照出處,0,0,1,1,4,5,0,0,0,0,0,0,81013,3.9,45,2,18
25445,大四的Me,2,2,2,2,3,3,0,0,1,1,2,2,310642,26.6,9,2,9
872,矯正回診過後牙面,1,1,2,2,4,7,2,2,5,5,5,5,350281,16.4,8,0,8
35472,#分享 愚人金-泰國金邊地老虎（Ornithoctonus aureotibialis），已放置防雷圖,1,2,2,2,2,2,0,0,0,0,0,0,63642,22.5,8,4,2
47654,#問題 (更) 新機車騎車時會抖動,1,1,1,1,1,1,17,18,20,21,25,26,17362,25.6,6,0,13
40202,"尋找黑狗（找到了，謝謝）
更新
找到狗狗了
謝謝好心人🙏🙏🙏",2,3,5,5,5,5,1,1,2,2,2,2,699763,53.5,6,6,4
3306,交往學歷真的很重要嗎?,1,6,12,15,17,18,5,18,40,42,43,44,817817,391.7,22,3,14
426,逢甲老鄧 你吃過嗎？,1,2,3,3,3,3,0,0,0,0,0,0,160419,81.9,8,0,3
10048,跟新秘姐姐學的「偽素顏眼睛放大術」🤩,2,3,7,11,15,18,0,0,1,1,2,2,156928,140.1,63,1,12
3942,除了資工所六大考科 還需要學習的相關課程？,2,3,5,6,6,6,10,16,17,17,17,18,174372,56.4,7,2,12
26984,男友粉刺,0,3,6,11,16,20,0,0,0,0,1,1,331474,5.0,58,5,9
